Crop,Country,District,Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,Yield_t_per_ha
Sugarcane,Sri Lanka,Anuradhapura,2021,3,71.58,28.39,72.01,62.9,21.0,19.58,76.57
Sugarcane,Sri Lanka,Anuradhapura,2023,6,143.31,30.67,67.87,45.0,19.79,15.0,72.81
Rubber,Sri Lanka,Ratnapura,2023,11,172.72,30.83,82.42,62.07,23.66,19.26,1.6
Cinnamon,Sri Lanka,Galle,2021,10,151.16,23.89,80.63,70.11,25.78,21.38,0.69
Sugarcane,Sri Lanka,Polonnaruwa,2017,12,69.14,24.0,79.82,72.07,26.82,21.08,79.77
Sugarcane,Sri Lanka,Kurunegala,2015,6,164.88,35.5,78.34,72.12,19.99,15.0,71.46
Sugarcane,Sri Lanka,Kurunegala,2025,1,91.08,22.79,80.1,66.75,22.72,22.97,76.35
Rubber,Sri Lanka,Ratnapura,2023,2,153.33,32.74,85.18,69.38,21.54,17.26,1.48
Rice,Sri Lanka,Batticaloa,2016,11,136.15,29.23,73.52,55.72,27.59,23.27,5.1
Rice,Sri Lanka,Kurunegala,2018,3,69.19,27.86,77.57,71.41,20.59,24.47,3.97
Rice,Sri Lanka,Polonnaruwa,2022,9,138.55,24.4,83.65,62.16,27.81,21.14,4.92
Cinnamon,Sri Lanka,Matara,2021,12,148.8,23.01,77.33,55.67,23.6,15.0,0.81
Rice,Sri Lanka,Kurunegala,2018,8,279.52,25.83,74.43,58.45,18.0,18.78,4.45
Rubber,Sri Lanka,Kalutara,2021,8,181.97,27.9,75.14,66.11,21.02,15.0,1.59
Cinnamon,Sri Lanka,Kalutara,2023,9,162.2,28.19,70.19,63.43,23.68,21.22,0.61
Sugarcane,Sri Lanka,Polonnaruwa,2025,12,73.55,33.48,87.18,78.21,21.05,25.82,79.53
Rubber,Sri Lanka,Matara,2015,12,189.58,28.58,77.42,64.37,22.18,20.51,1.75
Tea,Sri Lanka,Kandy,2020,1,155.01,17.97,79.66,60.06,21.19,19.19,2.32
Cinnamon,Sri Lanka,Galle,2017,7,204.04,29.03,85.35,67.93,18.0,24.91,0.66
Sugarcane,Sri Lanka,Anuradhapura,2016,6,148.1,34.2,79.43,65.44,23.2,15.0,79.6
Rubber,Sri Lanka,Kegalle,2022,1,153.54,24.92,72.2,60.12,27.36,16.68,1.69
Cinnamon,Sri Lanka,Galle,2024,9,144.58,26.66,80.66,54.03,24.59,21.87,0.47
Sugarcane,Sri Lanka,Kurunegala,2021,5,167.06,31.13,70.35,56.46,19.01,20.45,72.19
Tea,Sri Lanka,Badulla,2018,6,302.05,24.77,70.07,51.47,20.63,15.0,2.4
Rubber,Sri Lanka,Kalutara,2025,4,205.94,30.06,74.72,64.45,18.0,20.36,1.51
Rice,Sri Lanka,Anuradhapura,2021,4,185.47,23.49,81.73,65.68,29.65,21.28,4.02
Rubber,Sri Lanka,Ratnapura,2017,4,196.92,33.08,83.05,78.35,20.75,22.74,1.66
Rubber,Sri Lanka,Ratnapura,2023,7,233.26,31.56,83.39,67.2,30.2,22.43,1.36
Tea,Sri Lanka,Badulla,2017,3,134.67,22.17,74.25,51.08,23.66,15.0,1.85
Rice,Sri Lanka,Trincomalee,2015,7,249.32,32.74,76.01,62.33,25.86,15.0,5.18
Rubber,Sri Lanka,Galle,2023,10,219.83,26.61,74.34,68.25,25.58,20.96,1.7
Cinnamon,Sri Lanka,Kalutara,2019,11,164.57,27.83,77.56,63.58,21.17,15.0,0.6
Tea,Sri Lanka,Kandy,2017,1,179.32,19.71,83.68,59.9,23.6,19.84,2.11
Rice,Sri Lanka,Trincomalee,2022,4,187.67,32.85,72.42,68.67,19.07,18.15,4.71
Cinnamon,Sri Lanka,Matara,2015,10,196.35,29.04,81.95,80.64,29.0,17.01,0.68
Rubber,Sri Lanka,Kalutara,2022,1,176.36,27.96,79.66,70.57,21.8,22.72,1.71
Sugarcane,Sri Lanka,Anuradhapura,2020,10,90.45,30.8,86.14,57.83,28.01,28.0,71.71
Sugarcane,Sri Lanka,Kurunegala,2025,10,98.38,31.89,85.8,71.08,31.14,23.04,75.36
Sugarcane,Sri Lanka,Polonnaruwa,2015,1,73.28,31.95,74.06,76.63,20.47,21.22,83.59
Rubber,Sri Lanka,Galle,2021,11,164.35,27.93,85.14,55.6,20.1,17.98,1.46
Tea,Sri Lanka,Kandy,2017,4,166.73,25.72,89.64,68.44,31.57,23.66,2.12
Cinnamon,Sri Lanka,Matara,2022,5,191.38,30.44,83.86,65.82,25.12,27.43,0.76
Rubber,Sri Lanka,Ratnapura,2016,7,216.88,34.56,82.39,65.92,27.82,26.47,1.59
Cinnamon,Sri Lanka,Galle,2025,2,129.32,29.83,77.74,68.25,24.04,26.59,0.6
Tea,Sri Lanka,Ratnapura,2021,5,269.94,22.32,73.62,64.94,23.0,18.36,1.83
Rice,Sri Lanka,Trincomalee,2021,10,185.53,24.44,79.05,58.63,18.0,15.37,4.07
Cinnamon,Sri Lanka,Matara,2015,5,181.89,30.1,79.03,64.2,20.74,20.41,0.66
Cinnamon,Sri Lanka,Kalutara,2023,9,204.2,28.51,73.25,47.19,23.13,25.1,0.6
Sugarcane,Sri Lanka,Polonnaruwa,2024,12,86.11,34.12,76.77,66.47,24.7,15.0,69.77
Sugarcane,Sri Lanka,Anuradhapura,2017,9,100.81,34.95,69.86,49.06,18.0,15.0,81.11
Cinnamon,Sri Lanka,Galle,2015,10,190.3,27.26,73.68,57.27,24.15,21.7,0.62
Rubber,Sri Lanka,Kalutara,2019,6,175.94,28.86,78.53,56.96,24.68,27.8,1.59
Rice,Sri Lanka,Jaffna,2019,12,134.2,25.33,73.71,59.82,18.0,16.7,4.35
Rubber,Sri Lanka,Galle,2017,8,185.54,30.32,72.53,55.95,27.85,18.72,1.62
Rubber,Sri Lanka,Kegalle,2016,4,184.73,26.74,80.6,69.38,18.0,23.32,1.65
Rubber,Sri Lanka,Matara,2019,5,209.44,30.64,84.74,58.92,29.0,21.93,1.62
Cinnamon,Sri Lanka,Matara,2024,2,111.63,27.08,88.81,66.87,18.27,15.0,0.82
Tea,Sri Lanka,Kandy,2017,11,237.38,21.33,82.54,73.23,22.0,23.95,2.69
Tea,Sri Lanka,Kandy,2019,2,173.01,16.71,80.7,57.06,20.12,21.91,2.2
Rice,Sri Lanka,Trincomalee,2022,6,230.54,28.94,80.06,69.5,20.38,18.21,4.04
Rice,Sri Lanka,Polonnaruwa,2022,12,121.07,26.86,75.98,53.04,25.29,26.01,4.95
Cinnamon,Sri Lanka,Kalutara,2015,7,192.02,26.9,84.84,62.18,29.73,24.0,0.58
Cinnamon,Sri Lanka,Kalutara,2015,2,123.66,25.09,83.02,63.33,32.0,18.69,0.66
Sugarcane,Sri Lanka,Kurunegala,2023,5,140.68,28.43,77.33,62.48,22.04,21.58,69.04
Sugarcane,Sri Lanka,Kurunegala,2021,7,129.78,35.86,79.11,54.13,27.51,20.07,70.75
Sugarcane,Sri Lanka,Polonnaruwa,2019,3,78.75,31.24,82.26,61.67,22.06,20.78,65.45
Rice,Sri Lanka,Jaffna,2017,1,106.87,28.92,81.58,68.01,22.05,23.24,5.03
Sugarcane,Sri Lanka,Polonnaruwa,2024,6,114.27,29.42,83.22,57.06,27.76,20.59,68.1
Tea,Sri Lanka,Badulla,2015,11,194.74,21.89,83.46,62.26,28.3,15.99,2.27
Rice,Sri Lanka,Trincomalee,2025,4,171.57,28.41,79.12,67.96,26.18,17.29,5.81
Rice,Sri Lanka,Trincomalee,2020,5,215.02,32.78,78.39,59.68,27.94,20.21,4.43
Rubber,Sri Lanka,Matara,2021,8,188.05,25.71,77.09,61.83,22.62,26.4,1.54
Rice,Sri Lanka,Anuradhapura,2015,5,198.94,27.44,80.68,71.39,30.42,16.83,4.36
Cinnamon,Sri Lanka,Kalutara,2025,4,145.3,26.28,75.12,63.11,25.86,15.0,0.49
Cinnamon,Sri Lanka,Matara,2016,1,199.31,24.15,79.46,63.43,22.28,23.12,0.63
Sugarcane,Sri Lanka,Polonnaruwa,2023,5,115.38,31.58,80.64,76.94,21.18,15.0,88.15
Sugarcane,Sri Lanka,Polonnaruwa,2020,8,139.48,35.66,87.06,60.28,18.11,24.54,71.18
Rubber,Sri Lanka,Matara,2019,9,184.06,26.74,67.79,54.13,20.82,23.44,1.63
Sugarcane,Sri Lanka,Anuradhapura,2022,4,141.69,32.44,72.13,53.01,19.74,17.71,76.35
Tea,Sri Lanka,Nuwara Eliya,2015,4,118.27,22.19,77.39,62.76,27.91,16.82,2.17
Sugarcane,Sri Lanka,Polonnaruwa,2019,4,147.29,32.16,80.15,56.31,24.49,17.94,75.25
Rice,Sri Lanka,Batticaloa,2024,11,127.59,23.4,79.02,64.44,30.33,15.0,4.23
Rice,Sri Lanka,Anuradhapura,2021,8,250.93,33.55,74.49,58.41,24.42,15.0,4.08
Cinnamon,Sri Lanka,Matara,2021,12,127.8,28.42,78.65,54.72,24.88,19.8,0.83
Cinnamon,Sri Lanka,Kalutara,2024,1,145.14,26.58,79.47,67.66,19.17,18.8,0.61
Rice,Sri Lanka,Jaffna,2021,3,96.45,30.15,81.76,60.08,30.02,23.31,4.83
Cinnamon,Sri Lanka,Matara,2022,5,191.61,30.12,73.24,62.77,22.98,15.7,0.62
Cinnamon,Sri Lanka,Kalutara,2016,11,165.65,25.89,74.44,67.18,22.41,21.81,0.73
Sugarcane,Sri Lanka,Polonnaruwa,2015,10,135.54,32.8,77.93,68.59,29.66,25.52,79.25
Sugarcane,Sri Lanka,Kurunegala,2020,8,128.58,34.26,76.44,58.05,20.25,23.46,79.72
Cinnamon,Sri Lanka,Galle,2021,4,121.17,29.11,72.74,47.18,18.0,19.16,0.85
Rice,Sri Lanka,Kurunegala,2023,4,218.27,31.05,72.18,64.7,20.22,16.07,4.54
Tea,Sri Lanka,Kandy,2015,8,273.62,27.52,72.59,55.01,26.58,15.0,2.14
Rice,Sri Lanka,Jaffna,2015,11,113.22,28.65,77.96,66.7,19.25,15.0,4.11
Tea,Sri Lanka,Badulla,2023,12,225.07,24.91,76.68,58.01,22.39,17.06,2.22
Rubber,Sri Lanka,Kegalle,2023,10,200.02,28.14,88.3,71.22,32.0,21.39,1.52
Rice,Sri Lanka,Jaffna,2022,10,109.69,31.9,83.07,70.79,24.11,23.04,4.49
Rubber,Sri Lanka,Kegalle,2024,9,228.43,33.16,81.93,68.48,24.66,15.0,1.66
Rubber,Sri Lanka,Ratnapura,2017,6,188.73,35.68,81.19,76.51,28.07,26.68,1.48
Sugarcane,Sri Lanka,Anuradhapura,2016,9,101.81,30.73,75.95,63.9,19.2,15.0,78.26
Rubber,Sri Lanka,Galle,2016,9,224.37,29.82,81.32,65.09,21.99,24.02,1.45
Tea,Sri Lanka,Matara,2023,3,149.53,23.57,75.16,66.71,23.8,18.0,2.12
Tea,Sri Lanka,Ratnapura,2017,10,178.34,24.17,78.84,57.82,29.47,22.56,2.42
Cinnamon,Sri Lanka,Matara,2023,12,144.6,26.05,77.13,58.88,20.46,19.89,0.52
Rice,Sri Lanka,Jaffna,2018,1,126.38,25.79,72.56,50.62,21.37,15.24,4.13
Cinnamon,Sri Lanka,Galle,2021,12,135.45,25.31,73.08,61.03,18.4,15.0,0.73
Tea,Sri Lanka,Ratnapura,2023,4,200.1,26.61,82.86,51.37,18.93,21.69,2.32
Sugarcane,Sri Lanka,Anuradhapura,2023,7,125.22,33.0,71.5,59.52,24.74,15.0,66.61
Rice,Sri Lanka,Jaffna,2018,2,93.18,25.13,78.9,66.2,22.82,17.24,3.52
Rubber,Sri Lanka,Kalutara,2016,12,152.21,25.42,75.39,59.03,19.4,24.59,1.5
Rice,Sri Lanka,Jaffna,2018,2,120.26,26.96,85.47,71.36,22.59,25.2,4.26
Rice,Sri Lanka,Anuradhapura,2022,9,160.9,28.88,73.47,55.87,19.59,18.77,3.81
Rubber,Sri Lanka,Kalutara,2017,3,184.11,33.79,76.08,66.46,22.16,15.0,1.68
Cinnamon,Sri Lanka,Matara,2021,9,184.45,25.57,72.37,59.6,25.63,15.83,0.62
Sugarcane,Sri Lanka,Kurunegala,2016,11,80.76,25.33,79.68,64.34,28.15,17.28,75.75
Rubber,Sri Lanka,Kalutara,2017,7,208.39,33.18,84.36,69.8,22.71,23.33,1.58
Tea,Sri Lanka,Kandy,2023,8,319.59,19.32,75.13,69.4,23.91,25.06,2.29
Rice,Sri Lanka,Jaffna,2021,10,88.15,24.64,80.4,65.97,32.0,17.98,4.69
Tea,Sri Lanka,Ratnapura,2018,11,244.29,24.72,80.08,48.79,23.06,19.87,2.54
Rice,Sri Lanka,Anuradhapura,2017,9,165.4,31.13,83.81,61.73,29.59,27.83,4.2
Rice,Sri Lanka,Jaffna,2016,9,141.53,26.84,88.31,63.11,26.6,28.0,4.46
Sugarcane,Sri Lanka,Kurunegala,2019,1,89.26,27.78,74.55,65.34,18.81,16.9,71.49
Tea,Sri Lanka,Badulla,2021,7,453.32,22.59,77.68,61.15,22.95,21.59,2.26
Sugarcane,Sri Lanka,Anuradhapura,2023,8,128.28,31.16,82.23,74.61,25.42,28.0,77.9
Rice,Sri Lanka,Kurunegala,2019,12,87.41,25.7,83.06,54.74,23.59,16.41,4.32
Rubber,Sri Lanka,Galle,2018,8,195.99,28.94,71.97,68.04,19.34,21.33,1.7
Rubber,Sri Lanka,Matara,2019,8,169.15,31.19,81.66,67.61,23.68,22.83,1.63
Sugarcane,Sri Lanka,Polonnaruwa,2025,9,109.92,35.36,78.91,57.61,20.15,21.03,69.78
Rubber,Sri Lanka,Galle,2021,9,166.35,31.95,75.9,74.68,22.36,20.91,1.73
Rice,Sri Lanka,Anuradhapura,2021,1,119.36,26.95,76.2,55.32,22.01,17.04,4.54
Tea,Sri Lanka,Nuwara Eliya,2015,8,216.56,27.24,64.6,59.68,19.16,17.25,2.01
Rubber,Sri Lanka,Ratnapura,2015,9,173.62,25.98,75.26,48.16,20.72,15.25,1.68
Rubber,Sri Lanka,Kalutara,2015,8,179.1,33.33,76.21,56.6,22.92,16.93,1.61
Cinnamon,Sri Lanka,Galle,2017,2,96.79,23.8,78.95,56.01,27.55,15.0,0.72
Rubber,Sri Lanka,Kegalle,2016,7,210.54,26.19,74.42,58.82,18.0,21.47,1.35
Rice,Sri Lanka,Kurunegala,2023,4,155.12,29.8,75.47,61.82,28.25,15.0,4.4
Rice,Sri Lanka,Anuradhapura,2019,1,116.85,29.88,75.17,60.46,21.2,24.89,5.1
Cinnamon,Sri Lanka,Matara,2019,10,187.8,27.43,67.31,56.11,27.19,15.0,0.82
Cinnamon,Sri Lanka,Galle,2017,6,198.88,30.84,76.52,58.95,23.9,20.8,0.78
Tea,Sri Lanka,Nuwara Eliya,2023,7,246.9,22.89,73.19,60.94,21.12,20.1,1.84
Sugarcane,Sri Lanka,Kurunegala,2020,10,90.49,32.35,78.07,71.21,22.17,18.32,77.19
Tea,Sri Lanka,Matara,2015,4,252.98,21.84,74.79,60.62,22.31,20.42,2.16
Tea,Sri Lanka,Ratnapura,2018,3,115.11,22.37,79.36,66.24,19.7,17.77,2.49
Rubber,Sri Lanka,Kegalle,2023,1,147.4,24.29,83.13,63.24,24.34,20.39,1.79
Sugarcane,Sri Lanka,Kurunegala,2022,6,138.73,30.66,79.46,73.2,25.09,15.0,70.6
Rubber,Sri Lanka,Matara,2025,4,211.23,29.76,82.86,63.92,18.78,20.8,1.42
Cinnamon,Sri Lanka,Matara,2023,2,139.95,23.8,69.04,54.38,22.61,19.84,0.74
Sugarcane,Sri Lanka,Kurunegala,2015,12,55.09,28.49,75.0,61.48,24.24,18.38,76.01
Sugarcane,Sri Lanka,Polonnaruwa,2021,10,99.35,29.43,70.62,52.2,18.75,15.0,74.13
Rubber,Sri Lanka,Kalutara,2016,10,155.76,34.81,83.65,60.5,28.81,25.73,1.63
Rubber,Sri Lanka,Kalutara,2015,3,136.47,25.79,73.41,61.22,18.84,21.43,1.7
Tea,Sri Lanka,Badulla,2019,2,137.93,22.96,85.31,71.95,26.7,20.06,2.23
Sugarcane,Sri Lanka,Kurunegala,2025,11,80.29,31.86,87.78,78.32,29.27,15.0,70.23
Sugarcane,Sri Lanka,Kurunegala,2021,5,124.08,29.53,79.94,67.89,31.31,18.12,78.34
Sugarcane,Sri Lanka,Anuradhapura,2020,9,125.51,28.6,74.02,63.04,18.0,20.59,74.89
Rubber,Sri Lanka,Matara,2019,9,201.09,34.58,70.68,60.0,22.58,21.58,1.64
Sugarcane,Sri Lanka,Anuradhapura,2016,7,177.07,29.36,79.19,61.6,24.2,26.85,75.21
Tea,Sri Lanka,Badulla,2017,11,179.67,24.48,77.47,63.02,18.14,15.0,1.74
Rubber,Sri Lanka,Matara,2024,8,210.75,27.0,71.38,69.44,18.0,18.59,1.54
Rubber,Sri Lanka,Ratnapura,2022,2,153.05,29.23,71.5,56.22,21.99,16.68,1.55
Tea,Sri Lanka,Badulla,2017,1,195.06,15.72,82.97,66.49,18.0,18.12,2.21
Cinnamon,Sri Lanka,Kalutara,2024,9,156.66,29.05,68.98,68.16,18.0,15.89,0.6
Sugarcane,Sri Lanka,Polonnaruwa,2016,11,105.57,33.45,83.93,60.48,30.37,20.18,72.55
Rubber,Sri Lanka,Kalutara,2021,10,193.36,28.77,75.09,59.67,23.02,23.91,1.8
Cinnamon,Sri Lanka,Kalutara,2023,9,157.97,25.92,72.23,55.2,18.52,15.0,0.8
Tea,Sri Lanka,Ratnapura,2020,2,180.9,18.08,67.55,54.3,23.34,20.14,2.31
Rice,Sri Lanka,Jaffna,2025,6,238.61,32.06,84.69,72.95,29.65,22.87,3.45
Tea,Sri Lanka,Nuwara Eliya,2019,11,168.03,19.35,78.09,56.83,18.51,18.59,2.35
Sugarcane,Sri Lanka,Kurunegala,2023,12,83.56,26.32,79.34,57.56,23.93,24.9,82.63
Cinnamon,Sri Lanka,Matara,2021,9,167.88,27.26,82.86,64.65,28.54,18.57,0.6
Sugarcane,Sri Lanka,Polonnaruwa,2023,3,64.83,26.75,81.78,59.94,25.9,24.53,78.75
Cinnamon,Sri Lanka,Galle,2015,12,134.06,28.06,74.1,53.81,20.42,15.0,0.62
Tea,Sri Lanka,Ratnapura,2015,12,231.58,18.87,72.29,62.28,18.0,21.22,2.28
Rice,Sri Lanka,Polonnaruwa,2015,8,207.21,26.56,78.0,63.39,20.76,20.08,4.15
Sugarcane,Sri Lanka,Anuradhapura,2022,6,174.69,30.12,82.46,57.87,21.02,21.06,71.72
Tea,Sri Lanka,Nuwara Eliya,2016,1,134.51,20.28,77.73,63.76,18.21,18.91,2.09
Rubber,Sri Lanka,Matara,2018,2,148.99,28.84,81.84,65.02,27.08,22.09,1.5
Rubber,Sri Lanka,Ratnapura,2019,12,174.27,30.12,82.37,59.52,18.0,25.31,1.44
Rubber,Sri Lanka,Kalutara,2024,5,182.68,26.16,75.44,61.77,19.17,22.71,1.5
Rubber,Sri Lanka,Matara,2018,10,145.83,26.42,79.89,61.52,29.89,26.32,1.92
Tea,Sri Lanka,Kandy,2016,6,264.79,25.87,70.57,52.54,18.0,16.9,2.14
Rice,Sri Lanka,Kurunegala,2022,9,177.93,28.37,73.75,60.81,19.43,15.13,4.21
Tea,Sri Lanka,Badulla,2022,1,177.26,21.3,82.82,50.03,24.91,21.73,2.25
Tea,Sri Lanka,Matara,2017,7,277.18,23.61,74.28,54.52,27.38,18.64,2.38
Tea,Sri Lanka,Nuwara Eliya,2020,1,178.03,20.88,71.67,57.19,26.43,16.45,2.63
Sugarcane,Sri Lanka,Kurunegala,2015,2,100.68,29.09,80.39,72.95,28.88,24.15,80.6
Rice,Sri Lanka,Polonnaruwa,2017,3,91.85,29.34,78.11,64.85,27.82,21.55,4.43
Rice,Sri Lanka,Kurunegala,2015,11,172.82,31.5,78.48,53.37,26.02,28.0,4.55
Sugarcane,Sri Lanka,Kurunegala,2015,4,101.87,28.92,90.33,62.55,27.54,23.31,80.61
Rubber,Sri Lanka,Ratnapura,2024,6,167.74,30.49,84.22,75.95,28.13,20.11,1.82
Cinnamon,Sri Lanka,Kalutara,2018,8,192.21,27.69,92.13,71.21,22.98,19.77,0.68
Rubber,Sri Lanka,Galle,2020,11,178.26,25.24,78.63,67.65,21.31,27.9,1.52
Cinnamon,Sri Lanka,Galle,2018,8,198.04,29.53,77.63,56.96,28.9,17.12,0.42
Sugarcane,Sri Lanka,Anuradhapura,2021,1,71.71,29.39,70.06,53.37,21.69,17.41,85.03
Rice,Sri Lanka,Trincomalee,2024,3,90.72,25.34,83.25,62.53,28.29,20.81,4.42
Rubber,Sri Lanka,Matara,2017,7,238.76,27.28,76.71,51.34,21.78,15.0,1.46
Cinnamon,Sri Lanka,Matara,2025,2,125.32,24.36,75.93,58.1,23.21,15.0,0.85
Sugarcane,Sri Lanka,Polonnaruwa,2020,9,129.22,30.63,75.39,58.77,22.38,18.49,73.48
Tea,Sri Lanka,Badulla,2021,1,161.29,17.82,76.35,60.91,26.24,21.46,2.46
Rice,Sri Lanka,Jaffna,2023,10,170.89,23.4,81.22,63.43,22.34,21.45,3.83
Cinnamon,Sri Lanka,Galle,2016,6,156.5,29.18,76.86,53.78,19.56,25.26,0.6
Sugarcane,Sri Lanka,Anuradhapura,2018,4,86.59,31.13,70.07,48.22,24.4,18.64,69.82
Tea,Sri Lanka,Badulla,2024,3,155.64,16.73,77.71,66.22,23.26,16.71,2.1
Tea,Sri Lanka,Badulla,2018,12,172.9,24.21,74.69,60.2,20.07,15.95,2.16
Rice,Sri Lanka,Kurunegala,2018,11,120.06,29.43,68.16,55.09,27.41,17.98,4.49
Cinnamon,Sri Lanka,Galle,2015,3,121.75,27.55,79.56,55.07,20.69,22.43,0.39
Tea,Sri Lanka,Badulla,2021,2,188.85,19.01,80.13,68.63,26.31,15.0,2.25
Sugarcane,Sri Lanka,Kurunegala,2023,9,131.93,29.45,77.0,63.12,26.57,15.0,74.28
Tea,Sri Lanka,Ratnapura,2024,4,180.64,17.56,74.22,64.91,20.51,18.21,2.42
Tea,Sri Lanka,Matara,2017,12,163.82,20.62,72.91,60.13,21.75,23.0,1.95
Sugarcane,Sri Lanka,Kurunegala,2021,1,91.27,25.11,79.99,61.9,22.88,20.26,76.59
Tea,Sri Lanka,Matara,2022,9,225.64,25.08,76.0,61.79,18.0,15.0,2.22
Rice,Sri Lanka,Polonnaruwa,2024,7,269.48,27.62,75.86,59.89,22.48,18.7,4.9
Rubber,Sri Lanka,Kalutara,2016,12,198.8,30.89,81.43,73.04,25.13,21.82,1.67
Sugarcane,Sri Lanka,Kurunegala,2024,2,67.78,29.68,72.41,49.78,20.64,27.88,70.41
Rice,Sri Lanka,Jaffna,2023,8,225.1,24.99,80.74,71.38,26.55,19.34,3.95
Sugarcane,Sri Lanka,Kurunegala,2025,12,83.08,28.0,73.95,58.62,21.07,15.0,75.27
Cinnamon,Sri Lanka,Kalutara,2018,2,141.26,27.56,86.54,68.73,27.71,25.21,0.63
Rice,Sri Lanka,Trincomalee,2020,11,133.03,30.94,77.47,81.18,22.24,21.34,4.21
Tea,Sri Lanka,Ratnapura,2021,7,298.35,22.64,74.88,67.04,23.1,21.06,2.4
Rice,Sri Lanka,Batticaloa,2019,9,159.03,27.66,73.21,63.68,27.27,15.0,4.63
Tea,Sri Lanka,Matara,2022,7,209.06,20.49,66.39,52.98,18.0,19.97,2.64
Rice,Sri Lanka,Kurunegala,2018,11,130.02,31.46,75.66,55.66,23.02,18.15,4.6
Rubber,Sri Lanka,Matara,2020,11,153.91,32.63,74.87,55.38,18.0,20.52,1.67
Cinnamon,Sri Lanka,Kalutara,2018,9,151.84,26.95,72.5,59.12,29.25,20.62,0.96
Cinnamon,Sri Lanka,Galle,2022,10,219.9,25.48,78.71,67.74,23.19,22.14,0.72
Sugarcane,Sri Lanka,Polonnaruwa,2017,12,112.36,24.21,74.64,64.43,25.89,21.82,72.02
Cinnamon,Sri Lanka,Matara,2016,1,161.15,24.52,87.4,63.44,18.0,23.24,0.78
Rice,Sri Lanka,Trincomalee,2021,12,120.2,26.25,77.94,73.87,24.62,16.5,4.36
Tea,Sri Lanka,Kandy,2018,3,117.61,22.26,79.83,71.92,24.94,22.79,2.35
Rice,Sri Lanka,Batticaloa,2024,8,269.18,30.72,75.12,56.36,30.47,24.33,4.82
Sugarcane,Sri Lanka,Anuradhapura,2020,9,135.61,32.22,76.09,69.19,31.14,17.38,74.59
Sugarcane,Sri Lanka,Kurunegala,2018,6,108.11,33.32,74.78,63.94,19.52,21.17,74.33
Rubber,Sri Lanka,Ratnapura,2021,1,188.25,29.32,74.84,49.29,25.72,15.0,1.67
Sugarcane,Sri Lanka,Kurunegala,2023,1,89.58,32.64,82.78,72.12,22.46,19.11,68.16
Rice,Sri Lanka,Jaffna,2020,7,206.29,33.1,79.71,63.38,21.51,17.4,4.12
Tea,Sri Lanka,Kandy,2023,11,198.52,20.49,75.65,72.54,22.47,16.98,2.67
Sugarcane,Sri Lanka,Polonnaruwa,2024,4,69.14,34.64,83.45,74.84,19.45,15.0,73.57
Rice,Sri Lanka,Kurunegala,2024,11,136.52,25.97,81.87,62.25,24.04,18.21,3.86
Tea,Sri Lanka,Badulla,2023,11,212.62,20.28,83.34,72.75,32.0,19.01,2.74
Cinnamon,Sri Lanka,Matara,2018,12,182.61,23.18,74.14,59.92,24.83,17.84,0.82
Rubber,Sri Lanka,Kalutara,2024,1,188.79,25.55,76.93,54.53,19.21,17.69,1.47
Rice,Sri Lanka,Jaffna,2021,1,131.02,25.22,77.46,59.62,18.73,19.91,4.63
Cinnamon,Sri Lanka,Matara,2024,6,300.56,28.55,82.41,73.05,27.6,17.84,0.65
Sugarcane,Sri Lanka,Polonnaruwa,2015,2,81.91,26.39,74.08,56.95,23.72,19.77,72.4
Tea,Sri Lanka,Matara,2024,9,199.98,26.03,78.05,58.28,27.35,17.26,2.12
Sugarcane,Sri Lanka,Kurunegala,2018,3,63.96,29.74,84.14,58.67,22.49,27.26,75.47
Rubber,Sri Lanka,Galle,2023,9,166.26,28.97,75.27,57.39,18.0,18.08,1.65
Sugarcane,Sri Lanka,Kurunegala,2015,6,154.36,30.47,72.58,54.56,24.51,18.87,80.38
Tea,Sri Lanka,Kandy,2019,12,225.03,23.55,75.72,51.86,18.44,15.0,2.31
Tea,Sri Lanka,Nuwara Eliya,2025,9,227.57,22.5,84.67,79.19,25.56,23.71,2.33
Rice,Sri Lanka,Jaffna,2015,9,209.65,26.9,81.08,68.71,23.07,21.59,3.94
Cinnamon,Sri Lanka,Kalutara,2022,4,113.86,28.82,75.71,60.58,27.3,17.78,0.69
Rubber,Sri Lanka,Kalutara,2025,8,184.96,28.88,71.38,60.91,21.24,18.11,1.69
Rubber,Sri Lanka,Ratnapura,2019,6,253.9,36.67,77.14,66.92,24.02,20.92,1.84
Sugarcane,Sri Lanka,Anuradhapura,2017,5,100.38,28.43,72.53,58.78,18.0,18.46,74.43
Cinnamon,Sri Lanka,Kalutara,2017,3,118.65,26.87,72.92,57.36,25.94,25.21,0.58
Rubber,Sri Lanka,Kegalle,2017,9,184.5,31.44,78.11,59.08,27.77,15.0,1.74
Sugarcane,Sri Lanka,Polonnaruwa,2023,9,124.72,27.02,79.65,54.97,24.05,18.83,79.56
Rubber,Sri Lanka,Matara,2019,4,192.97,29.17,77.65,57.03,28.16,25.43,1.46
Cinnamon,Sri Lanka,Matara,2024,10,150.94,25.73,78.67,73.52,19.14,18.97,0.64
Tea,Sri Lanka,Badulla,2021,12,184.59,23.33,72.95,71.31,24.54,15.15,2.2
Rice,Sri Lanka,Anuradhapura,2024,4,172.03,32.61,71.94,55.77,22.3,15.0,4.2
Rice,Sri Lanka,Batticaloa,2024,7,227.52,30.64,79.24,70.19,28.77,16.18,4.53
